Unnamed: 0,GID_1,Samples,Minimum,Differences
0,ALA.3_2,10,26,16
1,ALB.5_1,10,26,16
2,ALB.6_1,10,26,16
3,ALB.9_1,10,26,16
4,AND.1_1,10,26,16
5,AND.2_1,10,26,16
6,AND.3_1,10,26,16
7,AND.4_1,10,26,16
8,AND.5_1,10,26,16
9,AND.7_1,10,26,16
10,ARE.2_1,10,26,16
11,ARE.4_1,10,26,16
12,ARE.6_1,10,26,16
13,ARE.7_1,10,26,16
14,ARG.5_1,10,26,16
15,ARG.9_1,31,26,0
16,ASM.1_1,10,26,16
17,ASM.2_1,10,26,16
18,ASM.4_1,10,26,16
19,AUS.2_1,10,26,16
20,AUT.1_1,10,26,16
21,AUT.2_1,11,26,15
22,AUT.3_1,13,26,13
23,AUT.4_1,11,26,15
24,AUT.5_1,11,26,15
25,AUT.6_1,12,26,14
26,AUT.8_1,10,26,16
27,AUT.9_1,10,26,16
28,BEL.1_1,10,26,16
29,BEL.2_1,11,26,15
30,BEL.3_1,12,26,14
31,BGD.2_1,17,26,9
32,BGD.3_1,13,26,13
33,BGD.8_1,11,26,15
34,BGD.5_1,13,26,13
35,BGD.6_1,12,26,14
36,BGR.1_1,11,26,15
37,BGR.2_1,11,26,15
38,BGR.4_1,10,26,16
39,BGR.5_1,10,26,16
40,BGR.6_1,11,26,15
41,BGR.7_1,10,26,16
42,BGR.8_1,10,26,16
43,BGR.9_1,10,26,16
44,BGR.11_1,10,26,16
45,BGR.12_1,10,26,16
46,BGR.13_1,10,26,16
47,BGR.14_1,11,26,15
48,BGR.16_1,10,26,16
49,BGR.18_1,10,26,16
50,BGR.22_1,11,26,15
51,BGR.23_1,10,26,16
52,BGR.24_1,10,26,16
53,BGR.26_1,10,26,16
54,BGR.27_1,10,26,16
55,BIH.1_1,10,26,16
56,BMU.1_1,10,26,16
57,BMU.2_1,10,26,16
58,BMU.3_1,10,26,16
59,BMU.4_1,10,26,16
60,BMU.6_1,10,26,16
61,BMU.7_1,10,26,16
62,BMU.8_1,10,26,16
63,BMU.9_1,10,26,16
64,BMU.10_1,10,26,16
65,BMU.11_1,10,26,16
66,BRA.6_1,54,26,0
67,BRA.7_1,11,26,15
68,BRA.9_1,114,26,0
69,BRA.13_1,191,26,0
70,BRA.15_1,25,26,1
71,BRA.17_1,38,26,0
72,BWA.3_1,10,26,16
73,BWA.4_1,10,26,16
74,BWA.9_1,19,26,7
75,BWA.10_1,10,26,16
76,BWA.14_1,10,26,16
77,BWA.16_1,10,26,16
78,CHE.1_1,10,26,16
79,CHE.2_1,10,26,16
80,CHE.3_1,10,26,16
81,CHE.4_1,10,26,16
82,CHE.5_1,10,26,16
83,CHE.6_1,11,26,15
84,CHE.7_1,10,26,16
85,CHE.8_1,10,26,16
86,CHE.9_1,10,26,16
87,CHE.11_1,10,26,16
88,CHE.12_1,10,26,16
89,CHE.13_1,10,26,16
90,CHE.14_1,10,26,16
91,CHE.15_1,10,26,16
92,CHE.16_1,10,26,16
93,CHE.17_1,10,26,16
94,CHE.18_1,10,26,16
95,CHE.19_1,10,26,16
96,CHE.20_1,10,26,16
97,CHE.21_1,10,26,16
98,CHE.22_1,10,26,16
99,CHE.23_1,11,26,15
100,CHE.24_1,10,26,16
101,CHE.25_1,10,26,16
102,CHE.26_1,10,26,16
103,CHL.13_1,11,26,15
104,CHN.HKG,10,26,16
105,COD.19_1,25,26,1
106,COL.5_2,10,26,16
107,COL.6_2,15,26,11
108,COL.8_2,11,26,15
109,COL.15_2,14,26,12
110,COL.20_2,14,26,12
111,COL.22_2,17,26,9
112,COL.25_2,10,26,16
113,COL.26_2,10,26,16
114,COL.27_1,10,26,16
