,geocell_idx
0,620
1,707
2,122
3,242
4,423
5,430
6,654
7,818
8,326
9,537
10,618
11,387
12,45
13,201
14,54
15,678
16,697
17,430
18,845
19,51
20,580
21,419
22,51
23,2
24,170
25,654
26,862
27,28
28,242
29,280
30,58
31,340
32,474
33,256
34,484
35,602
36,396
37,794
38,802
39,37
40,358
41,417
42,12
43,479
44,175
45,740
46,58
47,887
48,491
49,780
50,115
51,235
52,22
53,42
54,780
55,723
56,853
57,18
58,211
59,117
60,65
61,465
62,178
63,20
64,684
65,359
66,579
67,770
68,18
69,244
70,64
71,335
72,164
73,332
74,485
75,136
76,484
77,730
78,396
79,409
80,510
81,703
82,665
83,351
84,201
85,90
86,13
87,255
88,573
89,470
90,804
91,97
92,424
93,580
94,333
95,879
96,180
97,643
98,794
99,402
100,17
101,242
102,37
103,237
104,526
105,110
106,557
107,417
108,18
109,192
110,104
111,743
112,53
113,9
114,12
115,113
116,302
117,86
118,528
119,402
120,415
121,809
122,635
123,509
124,696
125,827
126,326
127,485
128,826
129,772
130,518
131,158
132,216
133,301
134,160
135,92
136,486
137,102
138,741
139,849
140,379
141,268
142,529
143,553
144,138
145,406
146,10
147,97
148,604
149,721
150,434
151,871
152,58
153,607
154,464
155,190
156,382
157,600
158,160
159,529
160,300
161,304
162,324
163,415
164,159
165,654
166,182
167,820
168,385
169,554
170,210
171,61
172,445
173,123
174,550
175,355
176,94
177,113
178,654
179,18
180,233
181,167
182,519
183,2
184,475
185,539
186,26
187,185
188,390
189,216
190,654
191,870
192,716
193,637
194,438
195,799
196,699
197,129
198,201
199,379
200,518
201,441
202,485
203,390
204,422
205,143
206,422
207,695
208,593
209,98
210,757
211,237
212,237
213,528
214,473
215,678
216,895
217,35
218,467
219,496
220,13
221,355
222,368
223,41
224,499
225,786
226,18
227,511
228,12
229,261
230,644
231,23
232,264
233,772
234,459
235,12
236,291
237,108
238,139
239,852
240,348
241,346
242,423
243,528
244,109
245,561
246,493
247,509
248,215
249,663
250,86
251,201
252,861
253,814
254,163
255,803
256,519
257,369
258,889
259,116
260,753
261,352
262,310
263,18
264,542
265,714
266,445
267,401
268,154
269,715
270,780
271,197
272,552
273,802
274,879
275,306
276,448
277,42
278,736
279,866
280,460
281,36
282,831
283,149
284,754
285,65
286,470
287,200
288,58
289,58
290,70
291,184
292,302
293,226
294,12
295,770
296,602
297,109
298,612
299,794
300,54
301,500
302,519
303,720
304,119
305,559
306,54
307,191
308,487
309,686
310,103
311,467
312,182
313,306
314,736
315,182
316,320
317,102
318,117
319,640
320,310
321,46
322,636
323,194
324,685
325,602
326,539
327,714
328,519
329,238
330,168
331,579
332,679
333,362
334,470
335,467
336,92
337,664
338,574
339,739
340,870
341,681
342,415
343,834
344,501
345,755
346,466
347,390
348,355
349,397
350,168
351,413
352,494
353,493
354,526
355,459
356,288
357,507
358,213
359,779
360,355
361,890
362,464
363,310
364,42
365,387
366,69
367,232
368,660
369,401
370,740
371,812
372,482
373,788
374,35
375,65
376,368
377,175
378,326
379,268
380,206
381,503
382,492
383,348
384,129
385,850
386,91
387,678
388,541
389,600
390,714
391,454
392,654
393,772
394,49
395,535
396,729
397,60
398,390
399,700
400,544
401,716
402,126
403,519
404,12
405,450
406,58
407,151
408,319
409,898
410,422
411,826
412,146
413,323
414,45
415,649
416,42
417,345
418,94
419,479
420,891
421,217
422,533
423,521
424,689
425,580
426,102
427,270
428,678
429,636
430,18
431,18
432,422
433,460
434,347
435,362
436,57
437,705
438,750
439,485
440,718
441,602
442,255
443,654
444,463
445,113
446,753
447,430
448,110
449,612
450,522
451,228
452,607
453,351
454,248
455,656
456,87
457,823
458,73
459,604
460,194
461,209
462,12
463,22
464,181
465,449
466,453
467,201
468,39
469,191
470,189
471,33
472,320
473,295
474,832
475,787
476,347
477,92
478,823
479,58
480,113
481,86
482,519
483,10
484,623
485,479
486,628
487,602
488,13
489,280
490,253
491,481
492,432
493,158
494,543
495,42
496,39
497,559
498,624
499,27
500,710
501,541
502,189
503,464
504,704
505,608
506,802
507,71
508,117
509,375
510,201
511,430
512,54
513,629
514,178
515,92
516,849
517,748
518,270
519,541
520,560
521,841
522,306
523,718
524,237
525,738
526,234
527,68
528,722
529,18
530,120
531,449
532,634
533,519
534,264
535,396
536,470
537,164
538,546
539,12
540,662
541,186
542,887
543,469
544,817
545,846
546,399
547,485
548,58
549,876
550,155
551,200
552,137
553,701
554,890
555,71
556,132
557,622
558,716
559,635
560,62
561,471
562,2
563,119
564,578
565,179
566,109
567,280
568,740
569,90
570,270
571,768
572,146
573,708
574,193
575,413
576,491
577,864
578,53
579,487
580,453
581,16
582,65
583,71
584,39
585,2
586,718
587,329
588,12
589,99
590,51
591,123
592,757
593,866
594,883
595,145
596,525
597,168
598,268
599,37
600,16
601,115
602,471
603,245
604,102
605,816
606,104
607,602
608,464
609,743
610,420
611,546
612,549
613,703
614,327
615,329
616,65
617,165
618,416
619,34
620,436
621,781
622,656
623,10
624,702
625,92
626,58
627,485
628,612
629,539
630,762
631,73
632,97
633,180
634,133
635,422
636,731
637,481
638,469
639,675
640,718
641,378
642,850
643,233
644,796
645,187
646,445
647,113
648,696
649,794
650,139
651,539
652,13
653,81
654,336
655,82
656,194
657,809
658,480
659,391
660,836
661,117
662,228
663,499
664,520
665,411
666,415
667,270
668,121
669,36
670,79
671,782
672,687
673,666
674,659
