GID_1,Samples,Differences
ALA.3_2,10,3
ALB.5_1,10,2
ALB.6_1,10,2
ALB.9_1,10,2
AND.1_1,10,3
AND.2_1,10,3
AND.3_1,10,3
AND.4_1,10,3
AND.5_1,10,3
AND.7_1,10,3
ARE.2_1,10,3
ARE.4_1,10,2
ARE.6_1,10,2
ARE.7_1,10,3
ARG.5_1,10,3
ARG.9_1,17,0
ASM.1_1,10,3
ASM.2_1,10,3
ASM.4_1,10,3
AUS.2_1,10,2
AUT.1_1,10,2
AUT.2_1,11,1
AUT.3_1,12,0
AUT.4_1,11,0
AUT.5_1,11,2
AUT.6_1,12,0
AUT.8_1,10,2
AUT.9_1,10,3
BEL.1_1,10,3
BEL.2_1,11,0
BEL.3_1,12,0
BGD.2_1,13,0
BGD.3_1,12,0
BGD.8_1,11,1
BGD.5_1,12,0
BGD.6_1,12,0
BGR.1_1,11,2
BGR.2_1,11,2
BGR.4_1,10,2
BGR.5_1,10,3
BGR.6_1,11,2
BGR.7_1,10,2
BGR.8_1,10,2
BGR.9_1,10,2
BGR.11_1,10,2
BGR.12_1,10,2
BGR.13_1,10,2
BGR.14_1,11,2
BGR.16_1,10,2
BGR.18_1,10,2
BGR.22_1,11,2
BGR.23_1,10,2
BGR.24_1,10,2
BGR.26_1,10,2
BGR.27_1,10,2
BIH.1_1,10,3
BMU.1_1,10,3
BMU.2_1,10,3
BMU.3_1,10,3
BMU.4_1,10,3
BMU.6_1,10,3
BMU.7_1,10,3
BMU.8_1,10,3
BMU.9_1,10,3
BMU.10_1,10,3
BMU.11_1,10,3
BRA.6_1,24,0
BRA.7_1,11,2
BRA.9_1,41,0
BRA.13_1,64,0
BRA.15_1,15,0
BRA.17_1,19,0
BWA.3_1,10,3
BWA.4_1,10,3
BWA.9_1,13,0
BWA.10_1,10,3
BWA.14_1,10,2
BWA.16_1,10,3
CHE.1_1,10,3
CHE.2_1,10,3
CHE.3_1,10,3
CHE.4_1,10,3
CHE.5_1,10,3
CHE.6_1,11,2
CHE.7_1,10,2
CHE.8_1,10,3
CHE.9_1,10,3
CHE.11_1,10,3
CHE.12_1,10,2
CHE.13_1,10,3
CHE.14_1,10,3
CHE.15_1,10,3
CHE.16_1,10,2
CHE.17_1,10,3
CHE.18_1,10,3
CHE.19_1,10,3
CHE.20_1,10,3
CHE.21_1,10,2
CHE.22_1,10,3
CHE.23_1,11,2
CHE.24_1,10,2
CHE.25_1,10,3
CHE.26_1,10,2
