GID_1,Samples
ALA.3_2,7
ALB.5_1,8
ALB.6_1,8
ALB.9_1,8
AND.1_1,7
AND.2_1,7
AND.3_1,7
AND.4_1,7
AND.5_1,7
AND.7_1,7
ARE.2_1,7
ARE.4_1,8
ARE.6_1,8
ARE.7_1,7
ARG.5_1,7
ARG.9_1,31
ASM.1_1,7
ASM.2_1,7
ASM.4_1,7
AUS.2_1,8
AUT.1_1,8
AUT.2_1,10
AUT.3_1,13
AUT.4_1,11
AUT.5_1,9
AUT.6_1,12
AUT.8_1,8
AUT.9_1,7
BEL.1_1,7
BEL.2_1,11
BEL.3_1,12
BGD.2_1,17
BGD.3_1,13
BGD.8_1,10
BGD.5_1,13
BGD.6_1,12
BGR.1_1,9
BGR.2_1,9
BGR.4_1,8
BGR.5_1,7
BGR.6_1,9
BGR.7_1,8
BGR.8_1,8
BGR.9_1,8
BGR.11_1,8
BGR.12_1,8
BGR.13_1,8
BGR.14_1,9
BGR.16_1,8
BGR.18_1,8
BGR.22_1,9
BGR.23_1,8
BGR.24_1,8
BGR.26_1,8
BGR.27_1,8
BIH.1_1,7
BMU.1_1,7
BMU.2_1,7
BMU.3_1,7
BMU.4_1,7
BMU.6_1,7
BMU.7_1,7
BMU.8_1,7
BMU.9_1,7
BMU.10_1,7
BMU.11_1,7
BRA.6_1,54
BRA.7_1,9
BRA.9_1,114
BRA.13_1,191
BRA.15_1,25
BRA.17_1,38
BWA.3_1,7
BWA.4_1,7
BWA.9_1,19
BWA.10_1,7
BWA.14_1,8
BWA.16_1,7
CHE.1_1,7
CHE.2_1,7
CHE.3_1,7
CHE.4_1,7
CHE.5_1,7
CHE.6_1,9
CHE.7_1,8
CHE.8_1,7
CHE.9_1,7
CHE.11_1,7
CHE.12_1,8
CHE.13_1,7
CHE.14_1,7
CHE.15_1,7
CHE.16_1,8
CHE.17_1,7
CHE.18_1,7
CHE.19_1,7
CHE.20_1,7
CHE.21_1,8
CHE.22_1,7
CHE.23_1,9
CHE.24_1,8
CHE.25_1,7
CHE.26_1,8
CHL.13_1,11
CHN.HKG,7
COD.19_1,25
COL.5_2,8
COL.6_2,15
COL.8_2,9
COL.15_2,14
COL.20_2,14
COL.22_2,17
COL.25_2,8
COL.26_2,8
COL.27_1,7
COL.31_2,14
CRI.1_1,10
CRI.7_1,9
CYP.2_1,7
CYP.3_1,7
CYP.4_1,8
CZE.1_1,10
CZE.2_1,9
CZE.3_1,8
CZE.4_1,9
CZE.5_1,9
CZE.6_1,8
CZE.7_1,9
CZE.8_1,9
CZE.9_1,8
CZE.10_1,9
CZE.11_1,7
CZE.12_1,10
CZE.13_1,9
CZE.14_1,8
DEU.1_1,18
DEU.2_1,29
DEU.3_1,7
DEU.4_1,16
DEU.5_1,7
DEU.6_1,7
DEU.10_1,18
DEU.11_1,13
DEU.12_1,8
DEU.14_1,13
DEU.16_1,12
DNK.1_1,8
DNK.4_1,9
DNK.5_1,11
DOM.5_1,7
DOM.31_1,7
ECU.9_1,10
ECU.16_1,11
ECU.19_1,10
ECU.23_1,8
ESP.1_1,34
ESP.2_1,22
ESP.4_1,32
ESP.5_1,36
ESP.6_1,17
ESP.7_1,7
ESP.8_1,10
ESP.9_1,10
ESP.10_1,14
ESP.11_1,20
ESP.12_1,16
ESP.14_1,9
ESP.15_1,9
ESP.16_1,9
