GID_1,Samples
ALA.3_2,10
ALB.5_1,10
ALB.6_1,10
ALB.9_1,10
AND.1_1,10
AND.2_1,10
AND.3_1,10
AND.4_1,10
AND.5_1,10
AND.7_1,10
ARE.2_1,10
ARE.4_1,10
ARE.6_1,10
ARE.7_1,10
ARG.5_1,10
ARG.9_1,17
ASM.1_1,10
ASM.2_1,10
ASM.4_1,10
AUS.2_1,10
AUT.1_1,10
AUT.2_1,11
AUT.3_1,12
AUT.4_1,11
AUT.5_1,11
AUT.6_1,12
AUT.8_1,10
AUT.9_1,10
BEL.1_1,10
BEL.2_1,11
BEL.3_1,12
BGD.2_1,13
BGD.3_1,12
BGD.8_1,11
BGD.5_1,12
BGD.6_1,12
BGR.1_1,11
BGR.2_1,11
BGR.4_1,10
BGR.5_1,10
BGR.6_1,11
BGR.7_1,10
BGR.8_1,10
BGR.9_1,10
BGR.11_1,10
BGR.12_1,10
BGR.13_1,10
BGR.14_1,11
BGR.16_1,10
BGR.18_1,10
BGR.22_1,11
BGR.23_1,10
BGR.24_1,10
BGR.26_1,10
BGR.27_1,10
BIH.1_1,10
BMU.1_1,10
BMU.2_1,10
BMU.3_1,10
BMU.4_1,10
BMU.6_1,10
BMU.7_1,10
BMU.8_1,10
BMU.9_1,10
BMU.10_1,10
BMU.11_1,10
BRA.6_1,24
BRA.7_1,11
BRA.9_1,41
BRA.13_1,64
BRA.15_1,15
BRA.17_1,19
BWA.3_1,10
BWA.4_1,10
BWA.9_1,13
BWA.10_1,10
BWA.14_1,10
BWA.16_1,10
CHE.1_1,10
CHE.2_1,10
CHE.3_1,10
CHE.4_1,10
CHE.5_1,10
CHE.6_1,11
CHE.7_1,10
CHE.8_1,10
CHE.9_1,10
CHE.11_1,10
CHE.12_1,10
CHE.13_1,10
CHE.14_1,10
CHE.15_1,10
CHE.16_1,10
CHE.17_1,10
CHE.18_1,10
CHE.19_1,10
CHE.20_1,10
CHE.21_1,10
CHE.22_1,10
CHE.23_1,11
CHE.24_1,10
CHE.25_1,10
CHE.26_1,10
CHL.13_1,11
CHN.HKG,10
COD.19_1,15
COL.5_2,10
COL.6_2,13
COL.8_2,11
COL.15_2,12
COL.20_2,12
COL.22_2,13
COL.25_2,10
COL.26_2,10
COL.27_1,10
COL.31_2,12
CRI.1_1,11
CRI.7_1,11
CYP.2_1,10
CYP.3_1,10
CYP.4_1,10
CZE.1_1,11
CZE.2_1,11
CZE.3_1,10
CZE.4_1,11
CZE.5_1,11
CZE.6_1,10
CZE.7_1,11
CZE.8_1,11
CZE.9_1,10
CZE.10_1,11
CZE.11_1,10
CZE.12_1,11
CZE.13_1,11
CZE.14_1,10
DEU.1_1,13
DEU.2_1,16
DEU.3_1,10
DEU.4_1,13
DEU.5_1,10
DEU.6_1,10
DEU.10_1,13
DEU.11_1,12
DEU.12_1,10
DEU.14_1,12
DEU.16_1,12
DNK.1_1,10
DNK.4_1,11
DNK.5_1,11
DOM.5_1,10
DOM.31_1,10
ECU.9_1,11
ECU.16_1,11
ECU.19_1,11
ECU.23_1,10
ESP.1_1,18
ESP.2_1,14
ESP.4_1,17
ESP.5_1,19
ESP.6_1,13
ESP.7_1,10
ESP.8_1,11
ESP.9_1,11
ESP.10_1,12
ESP.11_1,14
ESP.12_1,13
ESP.14_1,11
ESP.15_1,11
ESP.16_1,11
EST.3_1,10
EST.5_1,10
EST.10_1,10
EST.11_1,10
EST.13_1,10
EST.16_1,10
FIN.1_1,16
FRA.1_1,17
FRA.2_1,14
FRA.4_1,14
FRA.5_1,11
FRA.6_1,15
FRA.7_1,13
FRA.8_1,11
FRA.12_1,13
FRO.2_1,10
GHA7_2,10
GHA10_2,11
GRC.7_1,13
GRL.1_1,14
GTM.4_1,10
GTM.7_1,10
GTM.13_1,10
GTM.20_1,10
GUM.1_1,10
GUM.3_1,10
GUM.4_1,10
GUM.5_1,10
GUM.7_1,10
GUM.9_1,10
GUM.11_1,10
GUM.12_1,10
GUM.16_1,10
GUM.17_1,10
GUM.19_1,10
HRV.1_1,10
HRV.2_1,10
HRV.4_1,10
HRV.7_1,10
HRV.8_1,10
HRV.9_1,11
HRV.10_1,10
HRV.11_1,10
HRV.12_1,10
HRV.15_1,10
HRV.17_1,10
HRV.18_1,10
HRV.19_1,10
HRV.21_1,10
HUN.2_1,10
HUN.3_1,11
HUN.4_1,11
HUN.5_1,10
HUN.6_1,10
HUN.8_1,10
HUN.9_1,11
HUN.10_1,10
HUN.11_1,11
HUN.12_1,10
HUN.13_1,10
HUN.14_1,11
HUN.17_1,10
HUN.18_1,10
HUN.19_1,10
HUN.20_1,10
IMN.1_2,10
IMN.2_2,10
IMN.3_2,10
IMN.4_2,10
IMN.5_2,10
IMN.6_2,10
IMN.7_2,10
IMN.8_2,10
IMN.9_2,10
IMN.10_2,10
IMN.11_2,10
IMN.12_2,10
IMN.14_2,10
IMN.15_2,10
IMN.16_2,10
IMN.17_2,10
IMN.18_2,10
IMN.19_2,10
IMN.20_2,10
IMN.21_2,10
Z07.3_1,16
IND.4_1,17
IND.5_1,19
IND.6_1,10
IND.7_1,22
IND.8_1,10
IND.9_1,10
IND.12_1,14
IND.13_1,15
IND.18_1,10
IND.19_1,38
IND.25_1,10
IND.27_1,10
IND.28_1,15
IND.29_1,41
IND.30_1,11
IND.32_1,21
IND.33_1,11
IND.35_1,15
IRL.1_1,10
IRL.2_1,10
IRL.5_1,11
IRL.6_1,10
IRL.8_1,11
IRL.9_1,10
IRL.10_1,10
IRL.11_1,10
IRL.14_1,10
IRL.15_1,10
IRL.17_1,10
IRL.18_1,10
IRL.19_1,10
IRL.20_1,10
IRL.22_1,10
IRL.24_1,10
IRL.25_1,10
IRL.26_1,10
ISL.3_1,10
ISL.2_1,12
ISL.7_1,11
ISL.8_1,11
ISR.1_1,10
ISR.2_1,11
ISR.3_1,10
ISR.4_1,10
ISR.5_1,10
ISR.6_1,10
ISR.7_1,10
ITA.1_1,11
ITA.3_1,11
ITA.5_1,11
ITA.6_1,12
ITA.9_1,11
ITA.10_1,12
ITA.11_1,11
ITA.12_1,10
ITA.13_1,12
ITA.15_1,12
ITA.16_1,12
ITA.17_1,11
JEY.1_1,10
JEY.2_1,10
JEY.3_1,10
JEY.4_1,10
JEY.5_1,10
JEY.6_1,10
JEY.7_1,10
JEY.8_1,10
JEY.9_1,10
JEY.10_1,10
JEY.11_1,10
JEY.12_1,10
JOR.2_1,11
JOR.9_1,10
JPN.1_1,11
JPN.2_1,11
JPN.4_1,11
JPN.5_1,11
JPN.7_1,11
JPN.8_1,11
JPN.9_1,11
JPN.10_1,11
JPN.12_1,17
JPN.13_1,11
JPN.14_1,11
JPN.15_1,10
JPN.16_1,11
JPN.18_1,11
JPN.19_1,10
JPN.20_1,11
JPN.22_1,11
JPN.24_1,11
JPN.25_1,11
JPN.26_1,11
JPN.27_1,10
JPN.28_1,10
JPN.29_1,11
JPN.30_1,11
JPN.32_1,10
JPN.33_1,10
JPN.34_1,10
JPN.35_1,10
JPN.36_1,10
JPN.37_1,11
JPN.38_1,11
JPN.39_1,11
JPN.40_1,10
JPN.41_1,10
JPN.42_1,10
JPN.43_1,10
JPN.44_1,11
JPN.46_1,11
JPN.47_1,10
KEN.11_1,10
KEN.12_1,10
KEN.13_1,10
KEN.15_1,10
KEN.16_1,10
KEN.22_1,11
KEN.27_1,10
KEN.28_1,10
KEN.29_1,10
KEN.30_1,10
KEN.34_1,10
KEN.36_1,10
KEN.38_1,10
KEN.45_1,10
KGZ.2_1,10
KGZ.6_1,10
KHM.1_1,11
KHM.3_1,11
KHM.5_1,11
KHM.6_1,11
KHM.8_1,10
KHM.10_1,10
KHM.13_1,10
KHM.16_1,10
KHM.18_1,11
KHM.19_1,11
KHM.22_1,11
KHM.23_1,10
KHM.24_1,10
KHM.25_1,11
KOR.1_1,10
KOR.4_1,10
KOR.5_1,10
KOR.6_1,12
KOR.16_1,10
KOR.17_1,10
LAO.4_1,11
LBN.3_1,10
LBN.5_1,10
LBN.7_1,10
LBN.8_1,10
LIE.1_1,10
LIE.2_1,10
LIE.3_1,10
LIE.4_1,10
LIE.5_1,10
LIE.7_1,10
LIE.8_1,10
LIE.10_1,10
LIE.11_1,10
LKA.2_1,11
LKA.3_1,10
LKA.4_1,10
LKA.5_1,10
LKA.6_1,10
LKA.8_1,10
LKA.11_1,10
LKA.16_1,10
LKA.17_1,10
LKA.18_1,11
LKA.20_1,10
LKA.23_1,10
LKA.25_1,10
LSO.3_1,10
LSO.5_1,10
LTU.1_1,11
LTU.2_1,11
LTU.3_1,11
LTU.5_1,11
LTU.6_1,11
LTU.8_1,10
LTU.10_1,11
LUX.1_1,10
LUX.2_1,10
LUX.3_1,10
LVA.1_1,11
LVA.3_1,11
LVA.4_1,11
MDA.25_1,10
MEX.1_1,11
MEX.9_1,10
MEX.11_1,13
MEX.13_1,12
MEX.15_1,12
MEX.17_1,11
MEX.21_1,13
MEX.22_1,11
MEX.25_1,15
MEX.29_1,10
MKD.1_1,10
MKD.9_1,10
MKD.10_1,10
MKD.12_1,10
MKD.23_1,10
MKD.30_1,10
MKD.31_1,10
MKD.59_1,10
MKD.71_1,10
MKD.77_1,10
MLT.1_1,10
MLT.2_1,10
MLT.3_1,10
MLT.4_1,10
MLT.5_1,10
MNE.5_1,10
MNE.8_1,10
MNE.9_1,10
MNE.16_1,10
MNE.20_1,10
MNG.11_1,11
MNG.16_1,10
MNG.21_1,10
MNP.3_1,10
MYS.2_1,11
MYS.4_1,10
MYS.9_1,12
MYS.10_1,10
MYS.11_1,10
MYS.12_1,10
MYS.15_1,11
NGA.1_1,11
NGA.12_1,12
NGA.15_1,11
NGA.17_1,11
NGA.25_1,10
NGA.28_1,12
NGA.30_1,11
NGA.32_1,13
NLD.1_1,10
NLD.2_1,10
NLD.3_1,10
NLD.4_1,11
NLD.5_1,10
NLD.7_1,10
NLD.8_1,11
NLD.9_1,10
NLD.10_1,10
NLD.11_1,10
NLD.12_1,10
NLD.14_1,10
NOR.1_1,11
NOR.4_1,11
NOR.6_1,13
NOR.7_1,11
NOR.8_1,11
NOR.14_1,12
NPL.1_1,13
NPL.2_1,13
NPL.3_1,12
NPL.4_1,14
NZL.2_1,11
NZL.9_1,10
NZL.12_1,13
OMN.5_1,13
OMN.8_1,11
PAN.7_1,10
PER.6_1,13
PER.7_1,10
PER.22_1,17
PHL.1_1,10
PHL.4_1,10
PHL.7_1,10
PHL.10_1,10
PHL.13_1,10
PHL.17_1,10
PHL.21_1,10
PHL.24_1,10
PHL.27_1,10
PHL.31_1,10
PHL.37_1,11
PHL.39_1,10
PHL.40_1,10
PHL.41_1,10
PHL.47_1,10
PHL.55_1,11
PHL.60_1,10
PHL.68_1,10
PHL.76_1,10
POL.1_1,12
POL.2_1,12
POL.3_1,12
POL.4_1,12
POL.5_1,11
POL.6_1,11
POL.7_1,13
POL.8_1,11
POL.9_1,12
POL.10_1,12
POL.11_1,12
POL.12_1,11
POL.13_1,11
POL.14_1,12
POL.15_1,13
PRI.3_1,10
PRI.4_1,10
PRI.6_1,10
PRI.7_1,10
PRI.9_1,10
PRI.11_1,10
PRI.12_1,10
PRI.13_1,10
PRI.15_1,10
PRI.16_1,10
PRI.17_1,10
PRI.18_1,10
PRI.21_1,10
PRI.23_1,10
PRI.24_1,10
PRI.26_1,10
PRI.27_1,10
PRI.28_1,10
PRI.30_1,10
PRI.31_1,10
PRI.32_1,10
PRI.33_1,10
PRI.35_1,10
PRI.36_1,10
PRI.40_1,10
PRI.44_1,10
PRI.46_1,10
PRI.47_1,10
PRI.49_1,10
PRI.52_1,10
PRI.54_1,10
PRI.56_1,10
PRI.58_1,10
PRI.60_1,10
PRI.61_1,10
PRI.62_1,10
PRI.64_1,10
PRI.65_1,10
PRI.66_1,10
PRI.69_1,10
PRI.71_1,10
PRI.73_1,10
PRI.74_1,10
PRI.78_1,10
PRT.3_1,11
PRT.4_1,10
PRT.5_1,11
PRT.7_1,10
PRT.8_1,11
PRT.10_1,11
PRT.13_1,10
PRT.14_1,11
PRT.15_1,10
PRT.18_1,10
PRT.19_1,10
PRT.20_1,11
PRY.2_1,11
PRY.4_1,10
PRY.9_1,10
PRY.13_1,12
PSE.2_1,11
PYF.2_1,10
QAT.1_1,10
QAT.2_1,10
QAT.6_1,10
QAT.7_1,10
REU.3_1,10
ROU.2_1,11
ROU.3_1,11
ROU.5_1,11
ROU.10_1,10
ROU.14_1,11
ROU.17_1,10
ROU.18_1,11
ROU.19_1,10
ROU.20_1,10
ROU.23_1,11
ROU.25_1,10
ROU.24_1,11
ROU.26_1,10
ROU.27_1,11
ROU.30_1,11
ROU.32_1,11
ROU.36_1,11
ROU.40_1,11
ROU.41_1,11
RUS.8_1,13
RUS.14_1,10
RUS.19_1,12
RUS.23_1,13
RUS.29_1,16
RUS.43_1,10
RUS.44_1,14
RUS.48_1,11
RUS.63_1,19
RUS.67_1,13
RUS.68_1,16
RUS.70_1,12
RUS.81_1,13
RWA.5_1,10
SEN.1_1,10
SEN.2_1,11
SEN.7_1,11
SGP.1_1,10
SGP.2_1,10
SGP.3_1,10
SGP.4_1,10
SMR.1_1,10
SMR.2_1,10
SMR.3_1,10
SMR.4_1,10
SMR.5_1,10
SMR.6_1,10
SMR.7_1,10
SMR.8_1,10
SMR.9_1,10
SRB.5_1,10
SRB.7_1,10
SRB.10_1,10
SRB.13_1,10
SRB.17_1,10
SRB.18_1,10
SRB.20_1,10
SRB.24_1,10
SVK.1_1,11
SVK.2_1,10
SVK.4_1,11
SVK.5_1,11
SVK.6_1,10
SVK.7_1,10
SVK.8_1,11
SVN.1_1,10
SVN.2_1,10
SVN.3_1,10
SVN.4_1,10
SVN.5_1,10
SVN.6_1,10
SVN.7_1,10
SVN.8_1,10
SVN.9_1,10
SVN.10_1,10
SVN.11_1,10
SVN.12_1,10
SWE.2_1,13
SWE.6_1,15
SWE.7_1,11
SWE.11_1,11
SWE.13_1,11
SWE.16_1,11
SWE.17_1,12
SWE.20_1,11
SWE.21_1,13
THA.1_1,10
THA.2_1,10
THA.3_1,10
THA.4_1,10
THA.5_1,11
THA.6_1,11
THA.7_1,10
THA.8_1,11
THA.9_1,11
THA.10_1,12
THA.11_1,11
THA.12_1,10
THA.13_1,11
THA.14_1,11
THA.15_1,11
THA.16_1,12
THA.17_1,11
THA.19_1,11
THA.20_1,10
THA.21_1,11
THA.22_1,11
THA.23_1,11
THA.24_1,11
THA.25_1,10
THA.26_1,10
THA.27_1,10
THA.28_1,11
THA.29_1,12
THA.30_1,11
THA.31_1,11
THA.32_1,11
THA.33_1,10
THA.34_1,10
THA.35_1,10
THA.36_1,10
THA.37_1,10
THA.38_1,10
THA.40_1,10
THA.41_1,11
THA.43_1,11
THA.44_1,10
THA.46_1,10
THA.47_1,11
THA.48_1,10
