Unnamed: 0,GID_1,Samples
0,ALA.3_2,26
1,ALB.5_1,26
2,ALB.6_1,26
3,ALB.9_1,26
4,AND.1_1,26
5,AND.2_1,26
6,AND.3_1,26
7,AND.4_1,26
8,AND.5_1,26
9,AND.7_1,26
10,ARE.2_1,26
11,ARE.4_1,26
12,ARE.6_1,26
13,ARE.7_1,26
14,ARG.5_1,26
15,ARG.9_1,31
16,ASM.1_1,26
17,ASM.2_1,26
18,ASM.4_1,26
19,AUS.2_1,26
20,AUT.1_1,26
21,AUT.2_1,26
22,AUT.3_1,26
23,AUT.4_1,26
24,AUT.5_1,26
25,AUT.6_1,26
26,AUT.8_1,26
27,AUT.9_1,26
28,BEL.1_1,26
29,BEL.2_1,26
30,BEL.3_1,26
31,BGD.2_1,26
32,BGD.3_1,26
33,BGD.8_1,26
34,BGD.5_1,26
35,BGD.6_1,26
36,BGR.1_1,26
37,BGR.2_1,26
38,BGR.4_1,26
39,BGR.5_1,26
40,BGR.6_1,26
41,BGR.7_1,26
42,BGR.8_1,26
43,BGR.9_1,26
44,BGR.11_1,26
45,BGR.12_1,26
46,BGR.13_1,26
47,BGR.14_1,26
48,BGR.16_1,26
49,BGR.18_1,26
50,BGR.22_1,26
51,BGR.23_1,26
52,BGR.24_1,26
53,BGR.26_1,26
54,BGR.27_1,26
55,BIH.1_1,26
56,BMU.1_1,26
57,BMU.2_1,26
58,BMU.3_1,26
59,BMU.4_1,26
60,BMU.6_1,26
61,BMU.7_1,26
62,BMU.8_1,26
63,BMU.9_1,26
64,BMU.10_1,26
65,BMU.11_1,26
66,BRA.6_1,54
67,BRA.7_1,26
68,BRA.9_1,114
69,BRA.13_1,191
70,BRA.15_1,26
71,BRA.17_1,38
72,BWA.3_1,26
73,BWA.4_1,26
74,BWA.9_1,26
75,BWA.10_1,26
76,BWA.14_1,26
77,BWA.16_1,26
78,CHE.1_1,26
79,CHE.2_1,26
80,CHE.3_1,26
81,CHE.4_1,26
82,CHE.5_1,26
83,CHE.6_1,26
84,CHE.7_1,26
85,CHE.8_1,26
86,CHE.9_1,26
87,CHE.11_1,26
88,CHE.12_1,26
89,CHE.13_1,26
90,CHE.14_1,26
91,CHE.15_1,26
92,CHE.16_1,26
93,CHE.17_1,26
94,CHE.18_1,26
95,CHE.19_1,26
96,CHE.20_1,26
97,CHE.21_1,26
98,CHE.22_1,26
99,CHE.23_1,26
100,CHE.24_1,26
101,CHE.25_1,26
102,CHE.26_1,26
103,CHL.13_1,26
104,CHN.HKG,26
105,COD.19_1,26
106,COL.5_2,26
107,COL.6_2,26
108,COL.8_2,26
109,COL.15_2,26
110,COL.20_2,26
111,COL.22_2,26
112,COL.25_2,26
113,COL.26_2,26
114,COL.27_1,26
115,COL.31_2,26
116,CRI.1_1,26
117,CRI.7_1,26
118,CYP.2_1,26
119,CYP.3_1,26
120,CYP.4_1,26
121,CZE.1_1,26
122,CZE.2_1,26
123,CZE.3_1,26
124,CZE.4_1,26
125,CZE.5_1,26
126,CZE.6_1,26
127,CZE.7_1,26
128,CZE.8_1,26
129,CZE.9_1,26
130,CZE.10_1,26
131,CZE.11_1,26
132,CZE.12_1,26
133,CZE.13_1,26
134,CZE.14_1,26
135,DEU.1_1,26
136,DEU.2_1,29
137,DEU.3_1,26
138,DEU.4_1,26
139,DEU.5_1,26
140,DEU.6_1,26
141,DEU.10_1,26
142,DEU.11_1,26
143,DEU.12_1,26
144,DEU.14_1,26
145,DEU.16_1,26
146,DNK.1_1,26
147,DNK.4_1,26
148,DNK.5_1,26
149,DOM.5_1,26
150,DOM.31_1,26
151,ECU.9_1,26
152,ECU.16_1,26
153,ECU.19_1,26
154,ECU.23_1,26
155,ESP.1_1,34
156,ESP.2_1,26
157,ESP.4_1,32
158,ESP.5_1,36
159,ESP.6_1,26
160,ESP.7_1,26
161,ESP.8_1,26
162,ESP.9_1,26
163,ESP.10_1,26
164,ESP.11_1,26
165,ESP.12_1,26
166,ESP.14_1,26
167,ESP.15_1,26
168,ESP.16_1,26
169,EST.3_1,26
170,EST.5_1,26
171,EST.10_1,26
172,EST.11_1,26
173,EST.13_1,26
174,EST.16_1,26
175,FIN.1_1,27
176,FRA.1_1,29
177,FRA.2_1,26
178,FRA.4_1,26
179,FRA.5_1,26
180,FRA.6_1,26
181,FRA.7_1,26
182,FRA.8_1,26
183,FRA.12_1,26
184,FRO.2_1,26
185,GHA7_2,26
186,GHA10_2,26
187,GRC.7_1,26
188,GRL.1_1,26
189,GTM.4_1,26
190,GTM.7_1,26
191,GTM.13_1,26
192,GTM.20_1,26
193,GUM.1_1,26
194,GUM.3_1,26
195,GUM.4_1,26
196,GUM.5_1,26
197,GUM.7_1,26
198,GUM.9_1,26
199,GUM.11_1,26
200,GUM.12_1,26
