GID_1,Country,Status
AFG.1_1,Afghanistan,NO
AFG.2_1,Afghanistan,NO
AFG.3_1,Afghanistan,NO
AFG.4_1,Afghanistan,NO
AFG.5_1,Afghanistan,NO
AFG.6_1,Afghanistan,NO
AFG.7_1,Afghanistan,NO
AFG.8_1,Afghanistan,NO
AFG.9_1,Afghanistan,NO
AFG.10_1,Afghanistan,NO
AFG.11_1,Afghanistan,NO
AFG.12_1,Afghanistan,NO
AFG.13_1,Afghanistan,NO
AFG.14_1,Afghanistan,NO
AFG.15_1,Afghanistan,NO
AFG.16_1,Afghanistan,NO
AFG.17_1,Afghanistan,NO
AFG.18_1,Afghanistan,NO
AFG.19_1,Afghanistan,NO
AFG.20_1,Afghanistan,NO
AFG.21_1,Afghanistan,NO
AFG.22_1,Afghanistan,NO
AFG.23_1,Afghanistan,NO
AFG.24_1,Afghanistan,NO
AFG.25_1,Afghanistan,NO
AFG.26_1,Afghanistan,NO
AFG.27_1,Afghanistan,NO
AFG.28_1,Afghanistan,NO
AFG.29_1,Afghanistan,NO
AFG.30_1,Afghanistan,NO
AFG.31_1,Afghanistan,NO
AFG.32_1,Afghanistan,NO
AFG.33_1,Afghanistan,NO
AFG.34_1,Afghanistan,NO
AGO.1_1,Angola,NO
AGO.2_1,Angola,NO
AGO.3_1,Angola,NO
AGO.4_1,Angola,NO
AGO.5_1,Angola,NO
AGO.6_1,Angola,NO
AGO.7_1,Angola,NO
AGO.8_1,Angola,NO
AGO.9_1,Angola,NO
AGO.10_1,Angola,NO
AGO.11_1,Angola,NO
AGO.12_1,Angola,NO
AGO.13_1,Angola,NO
AGO.14_1,Angola,NO
AGO.15_1,Angola,NO
AGO.16_1,Angola,NO
AGO.17_1,Angola,NO
AGO.18_1,Angola,NO
AIA.1_1,Anguilla,NO
AIA.15_1,Anguilla,NO
AIA.2_1,Anguilla,NO
AIA.3_1,Anguilla,NO
AIA.4_1,Anguilla,NO
AIA.5_1,Anguilla,NO
AIA.6_1,Anguilla,NO
AIA.16_1,Anguilla,NO
AIA.7_1,Anguilla,NO
AIA.8_1,Anguilla,NO
AIA.17_1,Anguilla,NO
AIA.18_1,Anguilla,NO
AIA.9_1,Anguilla,NO
AIA.10_1,Anguilla,NO
AIA.11_1,Anguilla,NO
AIA.12_1,Anguilla,NO
AIA.13_1,Anguilla,NO
